year,department,county,ft_so_m,ft_so_f,ft_c_m,ft_c_f,pt_so,pt_c,us_so_ft,us_so_pt,us_c_ft,us_c_pt,pop_covered,so_per_1000,num_res_so
2014,Ralston P.D.,Sarpy,13,1,0,0,2,0,0,0,0,0,7586,2.1,0
2014,Schuyler P.D.,Colfax,6,1,0,0,2,0,2,0,0,0,6122,1.5,0
2014,Scottsbluff P.D.,Scotts Bluff,27,3,0,0,5,0,1,0,0,0,15009,2.3,0
2014,Seward P.D.,Seward,9,1,1,0,2,0,1,0,0,0,7155,1.7,0
2014,Sidney P.D.,Cheyenne,11,1,0,0,2,0,2,0,0,0,6853,2,0
2014,So. Sioux City P.D.,Dakota,26,1,0,0,1,1,0,0,0,0,13436,2.1,0
2014,Wayne P.D.,Wayne,7,0,1,0,3,1,1,0,0,0,5511,1.8,0
2014,York P.D.,York,15,0,0,0,6,0,0,0,0,0,8012,2.6,0
2015,Alliance P.D.,Box Butte,14,2,1,5,0,0,0,0,0,0,"8,502",1.9,0
2015,Beatrice P.D.,Gage,17,4,5,8,0,0,1,0,0,0,"12,092",1.7,0
2015,Bellevue P.D.,Sarpy,88,8,4,10,0,6,1,0,1,0,"54,251",1.8,0
2015,Blair P.D.,Washington,16,1,0,2,1,1,0,2,0,0,"7,986",2.1,0
2015,Chadron P.D.,Dawes,11,0,4,2,0,1,4,0,0,0,"5,773",1.9,0
2015,Columbus P.D.,Platte,32,4,3,11,0,1,0,0,0,0,"22,614",1.6,0
2015,Crete P.D.,Saline,9,3,0,0,3,1,0,0,0,0,"7,171",1.7,0
2015,Fremont P.D.,Dodge,33,2,0,5,2,1,3,0,0,0,"26,322",1.3,3
2015,Gering P.D.,Scotts Bluff,16,0,0,3,0,0,0,0,0,0,"8,469",1.9,0
2015,Grand Island P.D.,Hall,80,7,3,14,0,5,0,0,0,1,"50,999",1.7,0
2015,Hastings P.D.,Adams,34,5,1,16,0,2,0,0,0,0,"25,070",1.6,0
2015,Holdrege P.D.,Phelps,9,0,1,5,0,0,1,0,0,0,"5,536",1.6,0
2015,Kearney P.D.,Buffalo,52,3,6,8,0,0,0,0,0,0,"32,513",1.7,0
2015,LaVista P.D.,Sarpy,30,2,1,4,0,1,2,0,0,0,"17,955",1.8,0
2015,Lexington P.D.,Dawson,19,0,0,2,0,0,1,0,0,0,"10,195",1.9,0
2015,Lincoln P.D.,Lancaster,273,51,59,99,0,5,0,0,0,0,"271,208",1.2,0
2015,McCook P.D.,Red Willow,15,1,1,4,0,1,0,0,0,1,"7,697",2.1,0
2015,Nebraska City P.D.,Otoe,13,1,0,1,0,0,0,0,0,0,"7,243",1.9,0
2015,Norfolk P.D.,Madison,39,1,3,14,0,0,0,0,0,0,"24,588",1.6,0
2015,North Platte P.D.,Lincoln,37,2,3,21,0,2,2,0,1,0,"24,490",1.6,0
2015,Omaha P.D.,Douglas,675,151,40,97,42,25,7,0,18,0,"438,465",1.9,0
2015,Papillion P.D.,Sarpy,35,5,1,3,0,1,2,0,0,0,"22,606",1.8,0
2015,Plattsmouth P.D.,Cass,13,1,0,3,0,0,0,0,0,0,"6,460",2.2,3
2015,Ralston P.D.,Sarpy,13,1,0,2,0,0,0,0,0,0,"7,586",1.8,0
2015,Schuyler P.D.,Colfax,5,0,0,2,0,0,3,0,0,0,"6,122",0.8,0
2015,Scottsbluff P.D.,Scotts Bluff,27,3,1,4,0,0,1,0,0,0,"15,009",2,0
2015,Seward P.D.,Seward,11,1,0,1,2,0,0,0,0,0,"7,155",1.7,0
2015,Sidney P.D.,Cheyenne,12,2,0,2,0,0,0,0,0,0,"6,853",2,0
2015,So. Sioux City P.D.,Dakota,26,1,0,1,0,1,0,0,0,0,"13,436",2,0
2015,Wayne P.D.,Wayne,7,0,2,1,1,1,1,0,2,0,"5,511",1.3,0
2015,York P.D.,York,15,0,1,5,0,0,0,0,0,0,"8,012",1.9,0
